city,electoral_district,candidate,candidate_party,ticket,ticket_percentage,elected
南投縣,第02選區,許淑華,中國國民黨,80067,54.83,True
南投縣,第02選區,謝福全,宗教聯盟,978,0.67,False
南投縣,第02選區,吳承叡,台灣基進,4865,3.33,False
南投縣,第02選區,傅文佐,合一行動聯盟,800,0.55,False
南投縣,第02選區,陳癸佑,民主進步黨,59322,40.62,False
雲林縣,第01選區,張嘉郡,中國國民黨,86862,46.38,False
雲林縣,第01選區,蘇治芬,民主進步黨,94786,50.61,True
雲林縣,第01選區,林富源,無黨籍及未經政黨推薦,3558,1.9,False
雲林縣,第01選區,李昭儀,台灣革命黨,2088,1.11,False
雲林縣,第02選區,彭新銘,無黨籍及未經政黨推薦,6070,2.91,False
雲林縣,第02選區,劉建國,民主進步黨,119468,57.3,True
雲林縣,第02選區,張永津,喜樂島聯盟,805,0.39,False
雲林縣,第02選區,謝淑亞,中國國民黨,82150,39.4,False
嘉義縣,第01選區,黃俊雄,喜樂島聯盟,1336,0.95,False
嘉義縣,第01選區,王啓澧,中國國民黨,56256,39.96,False
嘉義縣,第01選區,黃奕瑄,中華統一促進黨,2175,1.54,False
嘉義縣,第01選區,蔡易餘,民主進步黨,81028,57.55,True
嘉義縣,第02選區,許能通,無黨籍及未經政黨推薦,13246,8.47,False
嘉義縣,第02選區,許韶珍,喜樂島聯盟,2681,1.71,False
嘉義縣,第02選區,林國慶,無黨籍及未經政黨推薦,64415,41.2,False
嘉義縣,第02選區,簡明廉,無黨籍及未經政黨推薦,1443,0.92,False
嘉義縣,第02選區,陳明文,民主進步黨,72141,46.14,True
嘉義縣,第02選區,王金山,台灣維新,2418,1.55,False
屏東縣,第01選區,葉壽山,中國國民黨,90467,37.4,False
屏東縣,第01選區,鍾佳濱,民主進步黨,119871,49.55,True
屏東縣,第01選區,黃冬輝,無黨籍及未經政黨推薦,2700,1.12,False
屏東縣,第01選區,蔣月惠,無黨籍及未經政黨推薦,24118,9.97,False
屏東縣,第01選區,秦鴻明,無黨籍及未經政黨推薦,281,0.12,False
屏東縣,第01選區,潘偉龍,一邊一國行動黨,4476,1.85,False
屏東縣,第02選區,鄭朝明,無黨籍及未經政黨推薦,7214,3.14,False
屏東縣,第02選區,周佳琪,中國國民黨,91168,39.67,False
屏東縣,第02選區,蘇震清,無黨籍及未經政黨推薦,107956,46.98,True
屏東縣,第02選區,何秋葺,台灣工黨,1102,0.48,False
屏東縣,第02選區,何麗莉,中華統一促進黨,631,0.27,False
屏東縣,第02選區,姚宗翰,無黨籍及未經政黨推薦,957,0.42,False
屏東縣,第02選區,鄭文龍,國會政黨聯盟,887,0.39,False
屏東縣,第02選區,張怡,無黨籍及未經政黨推薦,19209,8.36,False
屏東縣,第02選區,馮家芸,台澎黨,682,0.3,False
臺東縣,第01選區,張志明,中國國民黨,32737,41.88,False
臺東縣,第01選區,陳允萍,台灣民眾黨,3527,4.51,False
臺東縣,第01選區,張坤和,無黨籍及未經政黨推薦,404,0.52,False
臺東縣,第01選區,劉櫂豪,民主進步黨,41493,53.09,True
花蓮縣,第01選區,蕭嘉豪,民生公益,417,0.3,False
花蓮縣,第01選區,蕭美琴,民主進步黨,56485,40.53,False
花蓮縣,第01選區,黃啓嘉,中國國民黨,17507,12.56,False
花蓮縣,第01選區,許願神,臺灣前進黨,795,0.57,False
花蓮縣,第01選區,曹純明,中華統一促進黨,90,0.06,False
花蓮縣,第01選區,傅崐萁,無黨籍及未經政黨推薦,64060,45.97,True
澎湖縣,第01選區,呂應宏,喜樂島聯盟,653,1.31,False
澎湖縣,第01選區,歐中慨,中國國民黨,22332,44.91,False
澎湖縣,第01選區,楊曜,民主進步黨,26737,53.77,True
基隆市,第01選區,蔡適應,民主進步黨,104082,47.29,True
基隆市,第01選區,宋瑋莉,中國國民黨,83689,38.03,False
基隆市,第01選區,張耿輝,無黨籍及未經政黨推薦,13374,6.08,False
基隆市,第01選區,楊石城,國會政黨聯盟,18942,8.61,False
新竹市,第01選區,鄭正鈐,中國國民黨,95298,36.97,True
新竹市,第01選區,鄭宏輝,民主進步黨,82011,31.81,False
新竹市,第01選區,廖蓓瑩,國會政黨聯盟,5151,2.0,False
新竹市,第01選區,王榮德,無黨籍及未經政黨推薦,971,0.38,False
新竹市,第01選區,高鈺婷,時代力量,73770,28.62,False
新竹市,第01選區,曾楷耀,台灣維新,589,0.23,False
嘉義市,第01選區,陳泰山,無黨籍及未經政黨推薦,215,0.13,False
嘉義市,第01選區,凌子楚,無黨籍及未經政黨推薦,7270,4.54,False
嘉義市,第01選區,戴寧,無黨籍及未經政黨推薦,14000,8.75,False
嘉義市,第01選區,黃宏成台灣阿成世界偉人財神總統,無黨籍及未經政黨推薦,1208,0.75,False
嘉義市,第01選區,傅大偉,中國國民黨,53154,33.22,False
嘉義市,第01選區,王美惠,民主進步黨,80333,50.2,True
嘉義市,第01選區,蔡永泉,無黨籍及未經政黨推薦,3501,2.19,False
嘉義市,第01選區,郭瑞豐,國會政黨聯盟,338,0.21,False
連江縣,第01選區,曹爾忠,無黨籍及未經政黨推薦,2198,36.63,False
連江縣,第01選區,李問,民主進步黨,706,11.77,False
連江縣,第01選區,陳雪生,中國國民黨,2938,48.97,True
連江縣,第01選區,李克焜,國會政黨聯盟,6,0.1,False
連江縣,第01選區,王長明,無黨籍及未經政黨推薦,152,2.53,False
金門縣,第01選區,洪志恒,金門高粱黨,899,1.92,False
金門縣,第01選區,許丕肯,中華新住民黨,428,0.91,False
金門縣,第01選區,陳滄江,無黨籍及未經政黨推薦,7303,15.57,False
金門縣,第01選區,林志錦,無黨籍及未經政黨推薦,264,0.56,False
金門縣,第01選區,洪正,台灣基進,1627,3.47,False
金門縣,第01選區,盧月香,中國生產黨,112,0.24,False
金門縣,第01選區,陳福海,無黨籍及未經政黨推薦,13801,29.42,False
金門縣,第01選區,洪和成,無黨籍及未經政黨推薦,283,0.6,False
金門縣,第01選區,陳玉珍,中國國民黨,21875,46.64,True
金門縣,第01選區,程耀德,中華統一促進黨,311,0.66,False
