city,electoral_district,no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
桃園市,第01選區,3,王寶萱,綠黨社會民主黨聯盟,female,33,臺北市,博士,False,False
桃園市,第02選區,1,陳佩俞,樹黨,female,40,桃園市,碩士,False,False
桃園市,第02選區,2,吳振槖,台灣獨立黨,male,66,桃園市,專科,False,False
桃園市,第02選區,3,廖正井,中國國民黨,male,71,桃園市,碩士,True,False
桃園市,第02選區,4,張康儀,時代力量,female,35,桃園市,大學,False,False
桃園市,第02選區,5,陳賴素美,民主進步黨,female,52,臺灣省,大學,False,True
桃園市,第02選區,6,黃維春,無黨籍及未經政黨推薦,male,74,桃園市,高中,False,False
桃園市,第03選區,1,陳宏瑞,民國黨,male,39,臺灣省,博士,False,False
桃園市,第03選區,2,徐景文,民主進步黨,male,53,桃園市,碩士,False,False
桃園市,第03選區,3,賴立竹,無黨籍及未經政黨推薦,male,36,桃園市,大學,False,False
桃園市,第03選區,4,余能生,自由台灣黨,male,48,桃園市,高中,False,False
桃園市,第03選區,5,陳學聖,中國國民黨,male,58,臺北市,碩士,True,True
桃園市,第04選區,1,楊麗環,中國國民黨,female,58,桃園市,博士,True,False
桃園市,第04選區,2,鄭寶清,民主進步黨,male,61,桃園市,博士,False,True
桃園市,第05選區,1,呂玉玲,中國國民黨,female,54,桃園市,專科,True,True
桃園市,第05選區,2,蕭家亮,無黨籍及未經政黨推薦,male,56,桃園市,高中,False,False
桃園市,第05選區,3,張誠,民國黨,male,55,臺北市,博士,False,False
桃園市,第05選區,4,張肇良,民主進步黨,male,51,桃園市,碩士,False,False
桃園市,第05選區,5,黃志浩,無黨籍及未經政黨推薦,male,39,桃園市,碩士,False,False
桃園市,第05選區,6,黃國華,健保免費連線,male,46,臺灣省,高中,False,False
桃園市,第06選區,1,鄭振源,台灣未來黨,male,66,臺灣省,碩士,False,False
桃園市,第06選區,2,趙正宇,無黨籍及未經政黨推薦,male,49,桃園市,碩士,False,True
桃園市,第06選區,3,藍大山,台灣獨立黨,male,56,桃園市,大學,False,False
桃園市,第06選區,4,孫大千,中國國民黨,male,46,臺北市,博士,True,False
桃園市,第06選區,5,楊金軒,無黨籍及未經政黨推薦,male,75,桃園市,高中,False,False
桃園市,第06選區,6,呂東杰,綠黨社會民主黨聯盟,male,48,臺中市,專科,False,False
臺中市,第01選區,1,黃金推,無黨籍及未經政黨推薦,male,70,臺中市,專科,False,False
臺中市,第01選區,2,王淑芬,大愛憲改聯盟,female,48,臺灣省,其他,False,False
臺中市,第01選區,3,陳軍元,中華統一促進黨,male,43,臺灣省,專科,False,False
臺中市,第01選區,4,蔡其昌,民主進步黨,male,46,臺中市,碩士,True,True
臺中市,第01選區,5,顏秋月,中國國民黨,female,50,臺中市,大學,False,False
臺中市,第02選區,1,陳世凱,民主進步黨,male,38,臺灣省,大學,False,False
